Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,mental_illness,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,cluster_ouput
2014,35-65,female,United States,Illinois,NA,No,Yes,Yes,Often,Jun-25,No,Yes,Yes,Maybe,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,3
2014,35-65,male,United States,Indiana,NA,No,No,No,Rarely,1000+,No,No,Maybe,No,Maybe,Maybe,Don't know,Don't know,Maybe,No,No,No,No,No,Maybe,No,3
2014,20-35,male,Canada,NA,NA,No,No,No,Rarely,Jun-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,2
2014,20-35,male,United Kingdom,NA,NA,Yes,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,1
2014,20-35,male,United States,Texas,NA,No,No,No,Never,100-500,Yes,Yes,Yes,No,Maybe,Maybe,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Maybe,No,2
2014,20-35,male,United States,Tennessee,NA,Yes,No,No,Sometimes,Jun-25,No,Yes,Yes,Maybe,No,Maybe,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Maybe,No,2
2014,20-35,female,United States,Michigan,NA,Yes,Yes,Yes,Sometimes,01-May,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Maybe,No,1
2014,35-65,male,Canada,NA,NA,No,No,No,Never,01-May,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,No,2
2014,35-65,female,United States,Illinois,NA,Yes,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,1
2014,20-35,male,Canada,NA,NA,No,No,Yes,Never,26-100,No,Yes,Maybe,No,Maybe,Maybe,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
2014,20-35,male,United States,Ohio,NA,No,Yes,Yes,Sometimes,Jun-25,Yes,Yes,Maybe,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Maybe,No,2
2014,20-35,male,Bulgaria,NA,NA,No,No,No,Never,100-500,Yes,Yes,Maybe,Maybe,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Maybe,No,2
