"","Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","mental_illness","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"1","2014","35-65","female","United States","Illinois",NA,"No","Yes","Yes","Often","6-25","No","Yes","Yes","Maybe","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"2","2014","35-65","male","United States","Indiana",NA,"No","No","No","Rarely","1000+","No","No","Maybe","No","Maybe","Maybe","Don't know","Don't know","Maybe","No","No","No","No","No","Maybe","No"
"3","2014","20-35","male","Canada",NA,NA,"No","No","No","Rarely","6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","No","No","Yes","Yes","Yes","Yes","No","No"
"4","2014","20-35","male","United Kingdom",NA,NA,"Yes","Yes","Yes","Often","26-100","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"5","2014","20-35","male","United States","Texas",NA,"No","No","No","Never","100-500","Yes","Yes","Yes","No","Maybe","Maybe","Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Maybe","No"
"6","2014","20-35","male","United States","Tennessee",NA,"Yes","No","No","Sometimes","6-25","No","Yes","Yes","Maybe","No","Maybe","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Maybe","No"
"7","2014","20-35","female","United States","Michigan",NA,"Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Maybe","No"
"8","2014","35-65","male","Canada",NA,NA,"No","No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Yes","Don't know","No","No","No","No","No","No","No","No"
"9","2014","35-65","female","United States","Illinois",NA,"Yes","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Very difficult","Maybe","No","Yes","Yes","No","Maybe","No","No"
"10","2014","20-35","male","Canada",NA,NA,"No","No","Yes","Never","26-100","No","Yes","Maybe","No","Maybe","Maybe","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"11","2014","20-35","male","United States","Ohio",NA,"No","Yes","Yes","Sometimes","6-25","Yes","Yes","Maybe","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Maybe","No"
"12","2014","20-35","male","Bulgaria",NA,NA,"No","No","No","Never","100-500","Yes","Yes","Maybe","Maybe","No","No","Don't know","Don't know","No","No","Yes","Yes","Yes","Yes","Maybe","No"
"13","2014","35-65","female","United States","California",NA,"Yes","Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes"
"14","2014","35-65","male","United States","Connecticut",NA,"Yes","No","No","Never","500-1000","No","Yes","Maybe","Maybe","No","Maybe","Don't know","Don't know","No","No","Yes","Yes","No","No","Maybe","No"
"15","2014","20-35","male","Canada",NA,NA,"No","No","No","Never","6-25","No","Yes","Maybe","Maybe","Maybe","Maybe","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"16","2014","20-35","female","United States","Illinois",NA,"Yes","Yes","Yes","Rarely","26-100","No","Yes","Yes","Maybe","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Maybe","No"
"17","2014","20-35","male","United Kingdom",NA,NA,"No","Yes","Yes","Sometimes","26-100","Yes","Yes","Maybe","No","Maybe","Maybe","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
"18","2014","20-35","male","United States","Tennessee",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Maybe","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No"
"19","2014","35-65","male","United States","Maryland","Yes","Yes","No","No","Sometimes","1-5","Yes","Yes","Yes","Maybe","Yes","Maybe","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes"
"20","2014","35-65","male","France",NA,"Yes","Yes","No","No",NA,"6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Maybe","No"
"21","2014","20-35","male","United States","New York","No","Yes","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No"
"22","2014","20-35","male","United States","North Carolina","Yes","No","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"23","2014","35-65","male","United States","Massachusetts","No","No","Yes","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No"
